pubdate,bvid,url,title,episodes,duration_h,views,likes,coins,favs,replies,author,intro
2026-08-02,BV1or3D6iES2,https://www.bilibili.com/video/BV1or3D6iES2,杀戮尖塔2—白夕8月录播合集,200,80.57,112649,772,116,140,111,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-08-01,BV1SxGM66ESZ,https://www.bilibili.com/video/BV1SxGM66ESZ,杀戮尖塔2—创造历史50连！110版本nosl点播合集,74,53.56,233450,2229,390,720,673,白夕Seal,点点赞汪！点点赞谢谢汪！ / 感谢@2236AD  老板的点播
2026-07-31,BV1bzGA64Er1,https://www.bilibili.com/video/BV1bzGA64Er1,杀戮尖塔2—测试版第十二更新！毒猎加强！创世之柱回调！大量先古调整！,1,0.08,180688,6705,358,503,1877,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩
2026-07-25,BV1wV3M6dE4t,https://www.bilibili.com/video/BV1wV3M6dE4t,杀戮尖塔2—白夕7月录播合集 下,80,35.41,65324,720,54,70,46,白夕Seal,点点赞汪！点点赞谢谢汪！ / 合集又满200咯
2026-07-23,BV1k5gm6eEQ1,https://www.bilibili.com/video/BV1k5gm6eEQ1,杀戮尖塔2—109版本nosl猎点播合集,49,29.71,41274,805,50,82,67,白夕Seal,点点赞汪！点点赞谢谢汪！ / 感谢@2236AD  老板的点播
2026-07-22,BV1ttgz6XERs,https://www.bilibili.com/video/BV1ttgz6XERs,杀戮尖塔2—从夯到拉锐评商店遗物！工具箱依然能打，算盘叠已经拉完！,1,0.14,185513,7152,458,696,1220,白夕Seal,点点赞汪！点点赞谢谢汪！  / 剪辑@悠轩游轩
2026-07-20,BV1E6Kk6qEBk,https://www.bilibili.com/video/BV1E6Kk6qEBk,杀戮尖塔2—毒种点播合集,11,7.49,50364,1043,99,194,107,白夕Seal,点点赞汪！点点赞谢谢汪！ / 有一定连胜或多次复盘无法通关的种子可以带描述直播间50sc点播，会插队优先打打 / 普通毒种可以录播右下角群里和群友交流
2026-07-18,BV1s3KF64EWg,https://www.bilibili.com/video/BV1s3KF64EWg,卡厄思梦境—二游观者爬塔试玩！,1,0.05,31323,1006,43,33,129,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-07-17,BV1MWKH6ZEao,https://www.bilibili.com/video/BV1MWKH6ZEao,杀戮尖塔2—测试版第十一更！2个月来最大更新！大量角色关键卡牌遭调整！遗物大改，瓦库加强！,1,0.19,263134,9925,947,751,2886,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩   / 测试版入口：steam—库—杀戮尖塔2—右键属性—游戏版本及测试版
2026-07-05,BV1gbTC6ZEsj,https://www.bilibili.com/video/BV1gbTC6ZEsj,再见了 所有的爬塔战士！尖塔五大up合唱《One last kiss》看哭一众咔咔，希望噶人们能在以后的日子里享受生活,1,0.07,297869,15278,6155,4165,1461,翔咕咕本鸽,"希望噶人们爬塔过程中少些戾气，享受爬塔带来的乐趣，珍惜与身边朋友爬塔的时光，享受游戏，享受生活——xgg（不是xggg哦，xgg是翔咕咕） /  / 制作人员名单 / 策划：翔咕咕本鸽 / 剪辑：悠轩游轩，翔咕咕本鸽 / 封面，字幕，填词：翔咕咕本鸽 / 音频：幻琉HL / 动画：无害的鳄鱼菌 / 素材来源：幽浮碳基河豚，Kingxe,非自然X桑,普通路过切片man，Only-blue_ 美味食用冰 FFF655 我在非洲的前期 幻琉HL 破碎的星光brkstar 晓夫九 辉辉一时兴起 悠轩游轩 咬人裙 溺死在人潮中 / ai演唱：白夕Se"
2026-07-05,BV1WcMK6LEGu,https://www.bilibili.com/video/BV1WcMK6LEGu,杀戮尖塔2—108版本nosl合集,12,11.29,55235,857,76,83,170,白夕Seal,点点赞汪！点点赞谢谢汪！ / @2236AD  老板点播的nosl合集
2026-07-04,BV1FqMF64EBK,https://www.bilibili.com/video/BV1FqMF64EBK,杀戮尖塔2—测试版第十更！机器人压缩被砍烂！联机新增大量轮椅假卡！,1,0.12,185290,5863,270,423,1182,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩   / 不怕bug的话很推荐去测试版玩联机！ / 切换版本方式—steam—尖塔2—右侧小齿轮—属性—游戏版本及测试版
2026-07-02,BV1wfT666EC2,https://www.bilibili.com/video/BV1wfT666EC2,杀戮尖塔2—白夕7月录播合集,200,124.22,134697,994,125,131,134,白夕Seal,点点赞汪！点点赞谢谢汪！ / 7.10号录播在nosl合集
2026-06-28,BV143TM6pEhy,https://www.bilibili.com/video/BV143TM6pEhy,杀戮尖塔2—5分钟速通19张储君白卡！来看看你喜欢的卡是不是拉完了？,1,0.11,134640,5424,482,614,1341,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-06-15,BV12TJT6JEdN,https://www.bilibili.com/video/BV12TJT6JEdN,杀戮尖塔2—EA测试版储君百连合集（暂时完结）,114,82.72,162532,1517,191,374,432,白夕Seal,点点赞汪！点点赞谢谢汪！ / 平均用时43.6分钟  平均卡组大小25张
2026-06-12,BV1fKE166E3q,https://www.bilibili.com/video/BV1fKE166E3q,杀戮尖塔2—入门必修之：一层路线选择！密林更需要输出！暗港更需要防御！,1,0.12,172630,6969,894,1241,1234,白夕Seal,点点赞汪！点点赞谢谢汪！ / 是前几天直播预告的路线攻略！ / 剪辑@悠轩游轩
2026-06-08,BV1cdEM6kE3r,https://www.bilibili.com/video/BV1cdEM6kE3r,杀戮尖塔2—EA测试版亡灵契约师百连合集（暂时完结）,71,50.98,126771,1326,170,276,450,白夕Seal,点点赞汪！点点赞谢谢汪！ / 71局平均卡组大小27张，平均用时43分钟
2026-06-05,BV1977r6XEZj,https://www.bilibili.com/video/BV1977r6XEZj,杀戮尖塔2—测试版第八更！沙漏小削！卡牌微调！内容很少的假装更新！,1,0.04,184987,5313,198,309,1089,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩   / 更新内容仅在测试分支上线，正式服暂时不受影响
2026-06-04,BV1vs7o6PEYL,https://www.bilibili.com/video/BV1vs7o6PEYL,杀戮尖塔2—白夕6月录播合集,140,103.71,114587,1043,127,175,179,白夕Seal,点点赞汪！点点赞谢谢汪！ / 最近在冲连胜 部分录播在连胜合集
2026-06-03,BV1HQVr6dEK2,https://www.bilibili.com/video/BV1HQVr6dEK2,杀戮尖塔2—EA测试版机器人百连合集（暂时完结）,64,38.82,71175,889,104,231,145,白夕Seal,点点赞汪！点点赞谢谢汪！、 / 64局平均卡组大小27.2张 平均用时36.4分钟
2026-05-30,BV1LbV36FEZe,https://www.bilibili.com/video/BV1LbV36FEZe,卡厄思梦境—国服正式上线！看看豹最近唯一在玩的手游！,1,0.06,29969,898,93,42,257,白夕Seal,游戏名：卡厄思梦境 wegame即可下载
2026-05-30,BV1SAVe6LEuS,https://www.bilibili.com/video/BV1SAVe6LEuS,杀戮尖塔2—EA测试版战士泥头车百连合集（暂时完结）,33,18.13,132750,1320,229,455,372,白夕Seal,点点赞汪！点点赞谢谢汪！ / 106版本33局连胜，平均卡组大小24.9张，平均时长33分钟
2026-05-26,BV1MtVA6ZEz6,https://www.bilibili.com/video/BV1MtVA6ZEz6,5.3茶话会【双语字幕ver】,1,2.35,108135,3548,668,688,1240,爱丽丝拉斐尔_Official,感谢片尾2:20:54处的各位对翻译以及校对的付出！ / 5月3号拖了23天也是终于整完了双语字幕，辛苦各位了 / 有一些信息可能有点过时了，但依旧有不少信息在版本变更之后依旧值得思考，总之感谢各位 /  / 至少我还是感谢安东尼能让我们相聚在此刻的。
2026-05-23,BV1GHGh6kERZ,https://www.bilibili.com/video/BV1GHGh6kERZ,杀戮尖塔2—1.06版本更新 白夕5.7月录播合集,49,34.76,88790,1027,112,113,182,白夕Seal,点点赞汪！点点赞谢谢汪！ / 上个合集又快满了，正好测试版更新，再开一个新合集
2026-05-23,BV1EuGh6DEKT,https://www.bilibili.com/video/BV1EuGh6DEKT,杀戮尖塔2—EA测试版猎手百连合集（暂时完结）,62,45.52,108805,1299,179,331,403,白夕Seal,点点赞汪！点点赞谢谢汪！ / 合集内猎手局平均用时44分钟，卡组平均大小32.9张
2026-05-22,BV1zwLi6rE3h,https://www.bilibili.com/video/BV1zwLi6rE3h,杀戮尖塔2—测试版第七更！严肃针对乌龟打法！观者式更新！上版平静，这周该暴怒了！,1,0.08,368525,9797,438,661,3863,白夕Seal,点点赞汪！点点赞谢谢汪！ / 内容仅在测试分支改动，正式版暂时不受影响。 / 剪辑@悠轩游轩
2026-05-14,BV1nW5964Evo,https://www.bilibili.com/video/BV1nW5964Evo,杀戮尖塔2—宇宙冷漠是什么杯？（翻唱）,1,0.05,328373,11069,2477,1650,1223,白夕Seal,点点赞汪！点点赞谢谢汪！ / 原曲@幻琉HL
2026-05-11,BV1mh5n6kELS,https://www.bilibili.com/video/BV1mh5n6kELS,杀戮尖塔2—5滴血冲刺3精英墨影幻灵！105版本最红利职业！机神归位！,1,0.31,203098,5421,490,688,863,白夕Seal,点点赞汪！点点赞谢谢汪！ / 种子：20050317
2026-05-10,BV1ieRoBZEDr,https://www.bilibili.com/video/BV1ieRoBZEDr,杀戮尖塔2—白夕5.5月录播合集,174,108.29,160810,1164,163,200,207,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-05-10,BV1uSRoBmE21,https://www.bilibili.com/video/BV1uSRoBmE21,杀戮尖塔2—105新版剑圣最强用法！每回合只出1张牌nosl爆杀女王实验体！,1,0.05,118360,3780,151,274,503,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剑圣施加重放的的结算非常靠后，杂耍会复制卡牌的重放词条，但视为一张没有被剑圣加成的新牌，问了问拉斐尔，很可能是bug，但是有点爽！ /  / 同龄人：淬炼刀刃！铸墙！征服者！锻打成型！ / 我：杂耍 / 就很...
2026-05-08,BV12Fd3B7Esi,https://www.bilibili.com/video/BV12Fd3B7Esi,杀戮尖塔2—测试版第六更！再见了，门小弟！机宝终于加强！新的塞牌Boss！比较满意的一周！,1,0.14,385859,13724,1067,1083,3005,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩   / 测试分支路径—steam尖塔2页面——右侧小齿轮——属性——游戏版本及测试版
2026-04-30,BV1Kp9aBKE8n,https://www.bilibili.com/video/BV1Kp9aBKE8n,雪夜枪声—俄罗斯轮盘赌肉鸽！但子弹杀伤力不如嘴臭！,1,2.0,27191,1023,82,96,53,白夕Seal,游戏名：雪夜枪声
2026-04-29,BV1Mt9SBdE6N,https://www.bilibili.com/video/BV1Mt9SBdE6N,杀戮尖塔2—最感人的一次联机！双双复制卡组+吃大蘑菇！被看门狗血入100血翻盘！,1,0.15,170889,6066,453,419,709,白夕Seal,点点赞汪！点点赞谢谢汪！ / 猎手@病院坂saki
2026-04-27,BV125oZB7Ewb,https://www.bilibili.com/video/BV125oZB7Ewb,杀戮尖塔2—白夕五月录播合集,190,120.67,205582,1657,240,343,313,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-04-26,BV1skZcBdEsk,https://www.bilibili.com/video/BV1skZcBdEsk,杀戮尖塔2—瓦库遗物详解！瓦出不是区！大门扉版本最翻身之人！103版本攻略已略微过期,1,0.16,333691,11824,984,947,1308,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩
2026-04-24,BV19ioGBvEeE,https://www.bilibili.com/video/BV19ioGBvEeE,杀戮尖塔2—测试版第五更！门扉大人又活了一个版本！风平浪静的一周！,1,0.08,348656,9263,435,697,3972,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩
2026-04-23,BV1HfoYB3Ev2,https://www.bilibili.com/video/BV1HfoYB3Ev2,杀戮尖塔2—罕见飞鞋毒种！精妙的地图设计让猎豹无处可逃！,1,0.93,190437,4242,361,676,708,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-04-21,BV1ZpdmBMEWe,https://www.bilibili.com/video/BV1ZpdmBMEWe,杀戮尖塔2—大门扉时代各职业迎来大变？从极端把把洁到极端把把均！103版本攻略,1,0.17,324651,9755,943,997,3374,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩   / 表情包@_陳陳子_
2026-04-17,BV18Nd6BqESh,https://www.bilibili.com/video/BV18Nd6BqESh,杀戮尖塔2—佩尔遗物详解！最不可不尝的克隆猴戏！099版本攻略已过期,1,0.15,315912,9467,687,832,1424,白夕Seal,点点赞汪！点点赞谢谢汪！ / 佩尔之眼教学局传送门 / https://www.bilibili.com/video/BV1ywXwB5EGm?vd_source=c8481f537c5213cc474ef919942ff305&spm_id_from=333.788.videopod.episodes&p=145
2026-04-12,BV17KDSBFEKS,https://www.bilibili.com/video/BV17KDSBFEKS,杀戮尖塔2—为什么说预借时间加强了？预借时间教学局！打开思路的均卡之神！,1,0.69,135003,2833,224,340,961,白夕Seal,不打精简循环的话预借是加强的，而正好测试版删牌和事件都砍了，精简不动了 / 点点赞汪！点点赞谢谢汪！
2026-04-11,BV1fGQNBgEMY,https://www.bilibili.com/video/BV1fGQNBgEMY,杀戮尖塔2—白夕四月录播合集,197,125.34,205842,1330,205,335,192,白夕Seal,点点赞汪！点点赞谢谢汪！ / 200p又满咯！
2026-04-11,BV131QPBfEgC,https://www.bilibili.com/video/BV131QPBfEgC,杀戮尖塔2—欧洛巴斯遗物详解！把把幻想注能异虾的大眼睛！099版本攻略已过期,1,0.16,383162,12899,1512,1228,1269,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-04-10,BV1jKQcBfEqn,https://www.bilibili.com/video/BV1jKQcBfEqn,杀戮尖塔2—测试版第四更！逆天杂技升蓝！门扉活下来了！设计思路为前期难度转移至后期！,1,0.08,441163,10480,545,736,4391,白夕Seal,点点赞汪！点点赞谢谢汪！ / 杂技张数统计方法为：小黑盒相同局数的10张白卡总出现数量1400+ 10张蓝卡出现数量500+  按比例的大体估算 / 感谢剪辑@悠轩游轩
2026-04-08,BV1kwDkBUEWT,https://www.bilibili.com/video/BV1kwDkBUEWT,杀戮尖塔2—一层烧10种子毒种！安东尼幻想中的幽灵种子！猴戏遗物！,1,0.68,133044,2807,178,324,431,白夕Seal,幽灵种子是爹，但是不发过牌的是爷爷！ / 点点赞汪！点点赞谢谢汪！
2026-04-07,BV1A1DYBbEBK,https://www.bilibili.com/video/BV1A1DYBbEBK,卡厄思梦境—萌新该怎么培养角色？记忆碎片一分钟讲完！新手入坑攻略！,1,0.06,38062,917,75,110,150,白夕Seal,游戏名：卡厄斯梦境 大概五月国服公测
2026-04-05,BV1JqDVBAE4R,https://www.bilibili.com/video/BV1JqDVBAE4R,杀戮尖塔2—典中典之跟病姐联机开dps检测开局飞溅女妖已成哀兵但三冰蛋跟踪化身跟踪狂卧薪尝胆哀兵必胜偷吃相信华丽一刀480逆袭成功！,1,0.27,104365,2892,217,270,371,白夕Seal,点点赞汪！点点赞谢谢汪！ / 储君@病院坂saki   / 剪辑@悠轩游轩
2026-04-05,BV1DoDVBEENJ,https://www.bilibili.com/video/BV1DoDVBEENJ,杀戮尖塔2—删牌死贵！大卡组王朝了！测试版第三次更新试水合集！,16,9.68,160808,2552,152,297,747,白夕Seal,单独放一下前天测试版第三次更新的录播，门扉难度高了不少，但玩家都是逼出来的，莫非安东尼真是对的， / 胡局基本才能精简，再玩小卡组找人弄你！ / 现在差不多每局都把门扉当心脏打，能打女王实验体的常规构筑和之前版本的构筑很可能打不了门扉，对上限的需求明显高很多 / 点点赞汪！点点赞谢谢汪！
2026-04-03,BV1Vp9KBgENo,https://www.bilibili.com/video/BV1Vp9KBgENo,杀戮尖塔2—测试版第三次更新！有啥必要继续加强门扉吗？预借时间重做！,1,0.1,550563,14106,910,1139,5412,白夕Seal,目前只是测试版的改动，很可能是统计学问题导致的，只看到少数老玩家在测试版胜率良好，导致错判难度，大家可以多多F2反馈，这个门扉肯定还会调整，就这么搬上来我直接吃 / 感谢剪辑@悠轩游轩
2026-03-31,BV1FCXrBSEJ1,https://www.bilibili.com/video/BV1FCXrBSEJ1,杀戮尖塔2—特兹卡塔拉遗物详解！一进二最爱的稻草人！099版本攻略已过期,1,0.18,412772,13183,1396,1181,2179,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩
2026-03-30,BV1gNXYBCEUu,https://www.bilibili.com/video/BV1gNXYBCEUu,杀戮尖塔2—近期关于测试版与制作组谣言的再次澄清,1,0.04,238571,7526,1223,596,2792,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-03-29,BV19TXUB4E7R,https://www.bilibili.com/video/BV19TXUB4E7R,杀戮尖塔2—攻哈战之特有的捡垃圾吃然后变成爽种！,1,0.38,148578,3405,198,370,491,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-03-28,BV1H8X5BCEV9,https://www.bilibili.com/video/BV1H8X5BCEV9,卡厄思梦境—最保值！常驻池角色限伤70%依然T0！开服角色推荐！,1,0.04,26420,687,65,45,153,白夕Seal,游戏名：卡厄思梦境
2026-03-27,BV1ZFXNBGERf,https://www.bilibili.com/video/BV1ZFXNBGERf,杀戮尖塔2—测试服第二次更新！点名感谢中国玩家的反馈！背包回调，门扉重做！最听劝的一集！,1,0.1,394175,13593,1160,1186,4237,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩
2026-03-26,BV12aXnBiEfY,https://www.bilibili.com/video/BV12aXnBiEfY,杀戮尖塔2—重大发现！走问号甚至要跳过金币，要做的不止防摔！新塔学必修之事件池！,1,0.11,438669,11939,1585,2821,1129,白夕Seal,点点赞汪！点点赞谢谢汪！ / 事件一图流作者@EKLazy  放在评论区  / 剪辑@悠轩游轩
2026-03-24,BV1gyQiBSEbi,https://www.bilibili.com/video/BV1gyQiBSEbi,卡厄思梦境—玩法新颖的二次元杀戮尖塔！二游里罕见的可玩性！,1,0.04,89122,1667,71,154,294,白夕Seal,游戏名：卡厄思梦境，现在二测，快要出国服啦！
2026-03-24,BV1ywXwB5EGm,https://www.bilibili.com/video/BV1ywXwB5EGm,杀戮尖塔2—白夕3月末4月录播合集,200,124.88,181304,1284,212,260,216,白夕Seal,200分p满了，点点赞汪！点点赞谢谢汪！ / 部分测试版录播放在了空间新发的测试合集里
2026-03-21,BV1gVAWzkELz,https://www.bilibili.com/video/BV1gVAWzkELz,杀戮尖塔2—测试版体验合集,13,9.33,127171,1729,123,267,1053,白夕Seal,点点赞汪！点点赞谢谢汪！ / 门扉在面对常规胡局时大部分时候还是可以战胜的， / 但问题在于加强了大量1 2 3层小怪，见到门扉变得困难，并且一但第一回合断抽牌，门扉的偷牌在没有头槌等控顶， / 或灵魂等塞牌的情况下几乎无法控制，蠕动局被偷关键牌直接投降真的是很拉的设计 / 看明天热修复怎么改了
2026-03-20,BV19jAEzNE25,https://www.bilibili.com/video/BV19jAEzNE25,杀戮尖塔2—测试版第一次更新就守护老冯？好卡全削怪物加强！评论区大大方方骂官方能看到！,1,0.14,733406,19239,2922,1883,14067,白夕Seal,点点赞汪！点点赞谢谢汪！ / 注意这仅仅是测试版更新！正式版更新会比较保守，请给EA游戏多一点宽容， / 看到后续正式版调整再跑路不迟， / 想体验测试版路径为：steam尖塔2-小齿轮-属性-游戏版本及测试版 / 剪辑@悠轩游轩
2026-03-18,BV1qmwYzjEU2,https://www.bilibili.com/video/BV1qmwYzjEU2,杀戮尖塔2—转发给你的兄弟，尖塔联机不是谁胡了就结束了！,1,0.2,177242,4053,298,330,545,白夕Seal,点点赞汪！点点赞谢谢汪！ / 机宝@病院坂saki   / 剪辑@悠轩游轩
2026-03-16,BV1TJw7znEXu,https://www.bilibili.com/video/BV1TJw7znEXu,杀戮尖塔2—牌序塔学还没死透！药水掉率比一代更高！从塔1到塔2大变的塔学知识！,1,0.08,131412,4881,528,766,633,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-03-16,BV1h7wgzBEm8,https://www.bilibili.com/video/BV1h7wgzBEm8,杀戮尖塔2—先行杯竞速合集！,113,34.7,146495,1225,131,215,306,白夕Seal,点点赞汪！点点赞谢谢汪！ / 规则是A8一次战斗sl一次事件sl的竞速比赛 / 感谢主办方@Absentia
2026-03-13,BV1gpcSzyE5Y,https://www.bilibili.com/video/BV1gpcSzyE5Y,杀戮尖塔2—目前最快！11:52储君A10速通！放出这局害了多少萌新走上铸剑的歪路！,1,0.13,575350,11953,1136,2255,1763,白夕Seal,点点赞汪！点点赞谢谢汪！ / 种子：07Z6SU89LR / 主页单人模式——自定模式——输入种子选择储君 / 注意时间线需要全解锁
2026-03-12,BV1yjwwzTEfs,https://www.bilibili.com/video/BV1yjwwzTEfs,杀戮尖塔2—10分速通亡灵契约师！40张卡学会骨掌祭契人！抛弃灾厄流召唤流之名！099版本攻略已过期,1,0.17,534957,11995,1785,2976,3677,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-03-11,BV1pjwFzbEmi,https://www.bilibili.com/video/BV1pjwFzbEmi,杀戮尖塔2—新版战士第一课！3固有杂耍攻杀！一层无惧耸肩卡我攻哈了！,1,0.15,316852,5561,512,783,1335,白夕Seal,点点赞汪！点点赞谢谢汪！ / 新版战士攻哈局确实远多于防哈局 删防是对的 / bgm@幻琉HL   ai白夕 绝不认输 突然的装糖
2026-03-10,BV1d6cXzfEPU,https://www.bilibili.com/video/BV1d6cXzfEPU,杀戮尖塔2—静默猎手在塔2到底更新了什么！快速发现强势新卡！最可能是最强职业的一位！,1,0.16,231224,7451,1055,953,1550,白夕Seal,点点赞汪！点点赞谢谢汪！ / 视频剪辑@悠轩游轩
2026-03-09,BV1NCPQzSE5L,https://www.bilibili.com/video/BV1NCPQzSE5L,杀戮尖塔2—第一次联机！注意事项竟然是ban猎人？,1,0.26,347706,7574,436,810,1217,白夕Seal,点点赞汪！点点赞谢谢汪！ / 剪辑@悠轩游轩
2026-03-09,BV1BRPSzYEww,https://www.bilibili.com/video/BV1BRPSzYEww,杀戮尖塔2—塔2比一代都改动了什么？塔学大凋零时代！保护精英竟真是对的！神の精准预言！,1,0.12,402122,12752,1864,1625,2693,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-03-07,BV19yNwzZEsy,https://www.bilibili.com/video/BV19yNwzZEsy,杀戮尖塔2—机器人在塔2到底更新了什么！快速发现强势新卡！攻哈启动！机宝真的不是区了！,1,0.11,359206,20456,3753,1613,2096,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-03-06,BV1JrPpztEmC,https://www.bilibili.com/video/BV1JrPpztEmC,杀戮尖塔2—铁甲战士在塔2到底更新了什么！快速发现强势新卡！最版本红利的卡牌竟然是完美打击？？？,1,0.16,469216,14365,2416,1908,3359,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-03-06,BV1YoP1z1ECt,https://www.bilibili.com/video/BV1YoP1z1ECt,杀戮尖塔2—全职业进阶开荒合集！,198,123.59,750386,4687,1033,2200,1453,白夕Seal,点点赞汪！点点赞谢谢汪！庆祝塔2发布！近期都会在直播间天选抽奖塔2（88红包） 噶人们记得来参与一下哦！ / 竞速移步BV1h7wgzBEm8
2026-03-03,BV1o7ARzgEGx,https://www.bilibili.com/video/BV1o7ARzgEGx,杀戮尖塔—转经轮棱镜狗圈不跳牌！还必须换着职业拿！抓牌=赤石！会赢吗？,1,1.2,44449,1607,391,166,166,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-02-28,BV1pqAtzkEDS,https://www.bilibili.com/video/BV1pqAtzkEDS,杀戮尖塔—白夕Seal 26年3月尖塔1录播合集,53,30.38,48877,691,90,77,108,白夕Seal,点点赞汪！点点赞谢谢汪！ 200p又满啦
2026-02-21,BV1o7fEBfEBR,https://www.bilibili.com/video/BV1o7fEBfEBR,杀戮尖塔—尖塔2发布日期定档3月5日！机宝复活！官方联机模式！全新稀有度卡牌！还能在尖塔里玩扫雷！,1,0.12,273080,7050,555,620,1215,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-02-16,BV1MmZTB2ELS,https://www.bilibili.com/video/BV1MmZTB2ELS,【杀戮尖塔】塔区春晚，你画我猜,1,1.73,107853,3861,1181,787,291,破碎的星光brkstar,祝大家新年快乐，新春大吉
2026-02-12,BV1hPctz7EJp,https://www.bilibili.com/video/BV1hPctz7EJp,杀戮尖塔—白夕Seal 26年2.5月录播合集,200,141.55,88770,698,119,83,152,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-02-10,BV19SFUzVEgV,https://www.bilibili.com/video/BV19SFUzVEgV,杀戮尖塔—尖塔到底有多少BUG？浅谈二代是否会保留塔1“特性”！,1,0.11,140586,4921,337,706,406,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-02-01,BV11L6CBYEt9,https://www.bilibili.com/video/BV11L6CBYEt9,杀戮尖塔—白夕Seal 26年2月录播合集,197,113.34,63579,657,103,84,128,白夕Seal,点点赞汪！点点赞谢谢汪！
